ID	CS4_CEC_species	CS4_Col_species	CSW2_CEC_species	CW5_CEC_species	CW5_Col_species	merged_species
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	0.0
s__Akkermansia_muciniphila	2.2272	1.22553	3.55487	3.00661	1.11706	0.0
s__Anaerofustis_stercorihominis	0.04674	0.0245	0.00259	0.0	0.00179	0.0
s__Anaerostipes_caccae	0.00358	0.00275	0.0046	0.0	0.0	0.0
s__Anaerostipes_unclassified	0.18582	0.11591	0.07633	0.06853	0.08655	0.0
s__Anaerotruncus_colihominis	0.10865	0.03532	0.08761	0.0	0.0	0.0
s__Anaerotruncus_unclassified	0.00202	0.0	0.0136	0.0	0.0	0.0
s__Bacteroides_fragilis	19.16518	17.25317	61.06954	65.722	68.60711	0.0
s__Bacteroides_massiliensis	0.0	0.0	0.00153	0.0	0.0	0.0
s__Bacteroides_ovatus	12.75356	21.16721	2.07615	1.13967	1.08786	0.0
s__Bacteroides_thetaiotaomicron	8.37817	5.56862	1.69915	0.98323	1.53382	0.0
s__Bacteroides_uniformis	28.49308	32.10483	15.32742	16.97544	9.92659	0.0
s__Bacteroides_xylanisolvens	0.14437	0.46958	0.06932	0.00061	0.00939	0.0
s__Bifidobacterium_longum	0.0	0.0	0.00276	0.0	0.0	0.0
s__Bifidobacterium_pseudolongum	0.0	0.0	2.00469	0.99495	2.41989	0.0
s__Blautia_producta	0.79702	1.5044	1.97852	0.8127	1.08869	0.0
s__Clostridiales_bacterium_1_7_47FAA	0.13381	0.04729	0.07997	0.04513	0.04921	0.0
s__Clostridium_asparagiforme	0.42817	0.16903	0.08168	0.07339	0.08178	0.0
s__Clostridium_bolteae	0.0819	0.04839	0.72651	0.28719	0.21082	0.0
s__Clostridium_citroniae	0.0	0.0	0.0	0.00915	0.0039	0.0
s__Clostridium_clostridioforme	0.63827	0.31736	0.05354	0.03461	0.05555	0.0
s__Clostridium_difficile	0.0	0.0	1.31587	0.0	0.0	0.0
s__Clostridium_hathewayi	2.60188	1.02256	0.21553	0.22492	0.26744	0.0
s__Clostridium_innocuum	0.10245	0.06081	0.0	0.0	0.0	0.0
s__Clostridium_leptum	0.08952	0.04244	0.0	0.0	0.0	0.0
s__Clostridium_ramosum	0.0	0.00891	0.00512	0.05927	0.13263	0.0
s__Clostridium_scindens	0.01746	0.00716	0.00176	0.0	0.0012	0.0
s__Clostridium_symbiosum	0.36743	0.2091	1.16033	0.65261	0.84891	0.0
s__Coprobacillus_unclassified	0.01572	0.04142	0.03175	0.17025	0.15826	0.0
s__Dorea_unclassified	0.37821	0.0	0.0	0.02753	0.0	0.0
s__Eggerthella_lenta	0.04327	0.04383	0.00097	0.00409	0.00933	0.0
s__Eggerthella_unclassified	1.62231	0.69565	0.12075	0.16165	0.26971	0.0
s__Enterococcus_faecium	0.0	0.0	0.271	0.0	0.0	0.0
s__Erysipelotrichaceae_bacterium_2_2_44A	0.03849	0.00888	0.12701	0.06086	0.06274	0.0
s__Erysipelotrichaceae_bacterium_5_2_54FAA	0.09378	0.19133	0.0	0.56612	0.78553	0.0
s__Erysipelotrichaceae_bacterium_6_1_45	0.0052	0.00157	0.0	0.0	0.0	0.0
s__Escherichia_coli	1.04417	0.5385	0.48434	0.41934	0.4068	0.0
s__Escherichia_unclassified	0.08256	0.03612	0.00073	0.09669	0.0	0.0
s__Eubacterium_sp_3_1_31	0.09807	0.20434	0.0	0.69018	1.01802	0.0
s__Flavonifractor_plautii	0.1687	0.07352	0.1242	0.02131	0.04452	0.0
s__Holdemania_filiformis	0.0	0.0	0.0	0.09708	0.16552	0.0
s__Klebsiella_unclassified	0.02958	0.0	0.02456	0.0	0.0	0.0
s__Lachnospiraceae_bacterium_1_1_57FAA	0.0	0.0	0.02183	0.0	0.0	0.0
s__Lachnospiraceae_bacterium_3_1_46FAA	0.0	0.0	0.1163	0.05139	0.03366	0.0
s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	3.40977	1.96657	0.0372	0.07634	0.16082	0.0
s__Lachnospiraceae_bacterium_5_1_57FAA	0.28644	0.10094	0.07528	0.08031	0.08642	0.0
s__Lachnospiraceae_bacterium_7_1_58FAA	0.04595	0.02452	0.04005	0.00332	0.00971	0.0
s__Lactobacillus_gasseri	0.0	0.0	0.0	2.0308	4.08831	0.0
s__Lactococcus_lactis	0.0	0.0	0.81689	0.27753	0.40571	0.0
s__Mouse_mammary_tumor_virus	0.43523	0.02382	1.2067	0.53028	0.13665	0.0
s__Murine_osteosarcoma_virus	1.40276	0.15507	0.0	0.0	0.25374	0.0
s__Oscillibacter_unclassified	0.0	0.0	0.0	0.09779	0.12739	0.0
s__Oxalobacter_formigenes	0.03263	0.01712	0.0	0.0	0.0	0.0
s__Parabacteroides_unclassified	0.0	0.0	0.0	0.00677	0.0	0.0
s__Peptostreptococcaceae_noname_unclassified	0.0	0.0	0.0	0.49292	0.40682	0.0
s__Plasmodium_berghei	0.0	0.0	0.06854	0.02686	0.00136	0.0
s__Ruminococcus_gnavus	0.15151	0.15284	0.0	0.0	0.0	0.0
s__Ruminococcus_obeum	0.0	0.0	0.0	0.0	0.00176	0.0
s__Ruminococcus_torques	0.10491	0.10566	0.17839	0.39693	1.02372	0.0
s__Spleen_focus_forming_virus	0.0	0.0	0.71847	0.29974	0.0	0.0
s__Staphylococcus_xylosus	0.0	0.0	0.00435	0.0	0.0	0.0
s__Streptococcus_thermophilus	0.0	0.0	0.05587	0.01343	0.03696	0.0
s__Subdoligranulum_unclassified	6.56587	5.73374	2.65227	2.21049	2.76492	0.0
s__Sutterella_wadsworthensis	7.17859	8.4797	1.21358	0.0	0.0	0.0
s__unclassified	0.0	0.0	0.0	0.0	0.01145	0.0
